,Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
0,4293-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-09-04,156.5,300.97,144.47,23,4533.52,0.02,194.83,4757.22,7.18,4291.55
1,5001-1,2015-10-24,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2015-10-26,0.24,1.26,1.02,8,45.2,0.03,0.0,45.9,0.7,46.91
2,5004-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2014-03-13,42.11,80.98,38.87,45,873.32,0.04,72.23,837.57,7.18,82.58
3,5009-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013-02-20,5.33,8.6,3.27,16,73.52,0.01,4.35,740.67,6.19,730.92
4,5010-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2014-09-17,1.53,2.78,1.25,49,138.46,0.07,5.95,123.77,1.34,125.97
5,5011-1,2013-11-24,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2013-11-26,4.59,7.28,2.69,45,197.36,0.08,12.98,183.58,11.15,189.43
6,5012-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014-09-07,1.6,2.62,1.02,45,65.5,0.04,5.9,59.62,0.8,60.45
7,5012-1,2015-01-28,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,2015-01-29,1.6,2.62,1.02,34,24.92,0.02,2.49,22.43,0.8,27.43
8,5014-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2014-06-10,3.99,6.23,2.24,25,194.36,0.1,15.93,178.12,6.97,189.45
9,5015-1,2014-10-02,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-10-04,156.5,300.97,144.47,42,1079.62,0.04,30.83,1753.33,7.18,1705.42
10,5015-1,2014-04-01,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,2014-04-02,156.5,300.97,144.47,3,1602.02,0.1,144.41,1513.83,7.18,1533.62
11,5016-1,2013-02-11,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-02-12,2.39,4.26,1.87,18,123.54,0.06,3.71,119.83,1.2,121.03
12,5018-1,2013-12-29,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,2013-12-22,54.29,90.48,36.19,1,1029.5,0.02,30.82,1762.54,19.99,1740.57
13,5019-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2013-11-20,2.29,3.69,1.4,34,205.6,0.02,6.16,193.54,0.5,199.4
14,5019-1,2013-02-13,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-02-15,3.75,7.08,3.33,33,725.82,0.08,58.07,667.75,2.35,694.05
15,5019-1,2013-02-13,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-02-15,75.0,120.97,45.97,27,725.82,0.08,58.07,657.75,26.3,694.05
16,5020-1,2015-05-11,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,2015-05-13,0.9,2.1,1.2,49,35.7,0.05,1.07,34.63,0.7,35.33
17,5021-1,2015-05-18,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,2015-05-25,10.07,15.98,5.91,24,139.2,0.01,5.35,132.97,4.0,139.46
18,5021-1,2014-06-23,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2014-06-23,1.59,2.61,1.02,22,23.6,0.07,1.51,23.63,0.5,23.46
19,5021-1,2013-10-20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,2013-10-20,0.94,1.88,0.94,24,25.8,0.06,0.16,23.63,0.79,26.46
20,5022-1,2013-02-22,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,2013-02-23,156.5,300.97,144.47,49,723.84,0.07,50.67,673.17,7.18,693.16
21,5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,2013-02-22,1.09,2.6,1.51,8,122.2,0.0,12.22,109.98,2.4,112.38
22,5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2013-02-22,1.09,2.6,1.51,21,122.2,0.05,12.22,109.98,2.4,112.38
23,5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,2013-02-22,1.09,2.6,1.51,37,122.2,0.1,12.22,109.98,2.4,112.38
24,5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,2013-02-22,8.82,20.99,12.17,24,122.2,0.07,12.22,109.98,4.81,112.38
25,5023-1,2014-06-04,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2014-06-05,8.82,20.99,12.17,29,122.2,0.07,12.22,109.98,4.81,112.38
26,5024-1,2015-05-22,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,2015-05-24,4.53,7.3,2.77,14,285.14,0.02,2.95,265.55,7.72,274.97
27,5024-1,2014-10-13,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2014-10-15,3.4,5.4,2.0,42,146.6,0.01,14.58,134.01,7.78,143.72
28,5024-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,2013-02-20,99.39,162.93,63.54,48,5213.76,0.02,469.24,4744.52,19.99,4764.51
29,5024-1,2013-12-09,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,2013-12-09,99.39,162.93,63.54,40,4099.5,0.03,419.0,4795.52,19.99,4592.51
